,frame_id,face_id,dominant_gender,gender,dominant_age,age,age_group,max_sum_age,direct_age_group
693,137305,0,Female,"{'Male': 0.0064015730217426015, 'Female': 0.9935984269782574}",30-39,"{'0-2': 3.138300614125396e-05, '3-9': 0.0009867267394622831, '10-19': 0.009869617146033786, '20-29': 0.142752017072572, '30-39': 0.44185438328058785, '40-49': 0.23145249268721377, '50-59': 0.13302489343576682, '60-69': 0.03978133589532636, 'more than 70': 0.0002471507368958191}",Up to 50,"{'Over 50': 0.173053380067989, 'Up to 50': 0.826946619932011}",Up to 50
694,137310,0,Female,"{'Male': 0.006833911175321172, 'Female': 0.9931660888246788}",30-39,"{'0-2': 2.0510312472963657e-05, '3-9': 0.0010896001900036832, '10-19': 0.022600663283187886, '20-29': 0.22672699062614712, '30-39': 0.39130795639803556, '40-49': 0.18859713001887826, '50-59': 0.11616138519006657, '60-69': 0.05305277022624387, 'more than 70': 0.00044299375496410933}",Up to 50,"{'Over 50': 0.16965714917127456, 'Up to 50': 0.8303428508287254}",Up to 50
695,137320,0,Female,"{'Male': 0.006816945599349866, 'Female': 0.9931830544006501}",20-29,"{'0-2': 9.423581997840524e-05, '3-9': 0.005482767572249395, '10-19': 0.13693412507595376, '20-29': 0.49496742817599715, '30-39': 0.3435451814166737, '40-49': 0.017694881161327447, '50-59': 0.0012096450792339391, '60-69': 7.01225832377521e-05, 'more than 70': 1.6131153487722059e-06}",Up to 50,"{'Over 50': 0.0012813807778204634, 'Up to 50': 0.9987186192221799}",Up to 50
696,137325,0,Female,"{'Male': 0.004749999878917666, 'Female': 0.9952500001210823}",20-29,"{'0-2': 0.00023144942438701202, '3-9': 0.0035456734867495353, '10-19': 0.06925190617493894, '20-29': 0.5215616049260754, '30-39': 0.38457331336400846, '40-49': 0.019835877602804062, '50-59': 0.0009766674064804665, '60-69': 2.3129570734470567e-05, 'more than 70': 3.7804382162851963e-07}",Up to 50,"{'Over 50': 0.0010001750210365656, 'Up to 50': 0.9989998249789633}",Up to 50
697,137330,0,Female,"{'Male': 0.005280652810249142, 'Female': 0.9947193471897509}",20-29,"{'0-2': 0.000468180984671547, '3-9': 0.005035718322598166, '10-19': 0.09858861162705482, '20-29': 0.5073851343560046, '30-39': 0.36542896194866564, '40-49': 0.021915764970498637, '50-59': 0.001141934855760841, '60-69': 3.47169329045498e-05, 'more than 70': 9.760018411473637e-07}",Up to 50,"{'Over 50': 0.0011776277905065382, 'Up to 50': 0.9988223722094935}",Up to 50
698,137335,0,Female,"{'Male': 0.005551422575714726, 'Female': 0.9944485774242853}",20-29,"{'0-2': 0.0010633060903023253, '3-9': 0.006941350044417946, '10-19': 0.09579480684350529, '20-29': 0.5313925382195644, '30-39': 0.34388352674724765, '40-49': 0.019821134099028526, '50-59': 0.0010653918028650374, '60-69': 3.643448624492244e-05, 'more than 70': 1.51166682376879e-06}",Up to 50,"{'Over 50': 0.0011033379559337287, 'Up to 50': 0.9988966620440662}",Up to 50
699,137340,0,Female,"{'Male': 0.005462266886230971, 'Female': 0.994537733113769}",20-29,"{'0-2': 0.0008336516231474089, '3-9': 0.008955235581884794, '10-19': 0.11584531531098716, '20-29': 0.5606658540654557, '30-39': 0.2973970605291929, '40-49': 0.015579624243475053, '50-59': 0.0006974064747612791, '60-69': 2.4588708318848655e-05, 'more than 70': 1.2634627766681183e-06}",Up to 50,"{'Over 50': 0.000723258645856796, 'Up to 50': 0.9992767413541429}",Up to 50
700,137345,0,Female,"{'Male': 0.004623508454595915, 'Female': 0.9953764915454041}",30-39,"{'0-2': 0.00038540037967078195, '3-9': 0.002091194105808027, '10-19': 0.05545711316366095, '20-29': 0.41456825548041215, '30-39': 0.48319748677924346, '40-49': 0.04202220992481176, '50-59': 0.0022103450889307446, '60-69': 6.664095084165269e-05, 'more than 70': 1.354126620568435e-06}",Up to 50,"{'Over 50': 0.0022783401663929656, 'Up to 50': 0.9977216598336072}",Up to 50
701,137350,0,Female,"{'Male': 0.004453515313048495, 'Female': 0.9955464846869515}",20-29,"{'0-2': 0.0005983414911165093, '3-9': 0.003994359029062054, '10-19': 0.10021911945146808, '20-29': 0.5136007421838226, '30-39': 0.3595237579536447, '40-49': 0.020982740393238167, '50-59': 0.0010361391940112634, '60-69': 4.369714884063601e-05, 'more than 70': 1.1031547961170847e-06}",Up to 50,"{'Over 50': 0.0010809394976480165, 'Up to 50': 0.9989190605023522}",Up to 50
702,138160,0,Female,"{'Male': 0.05615664979688273, 'Female': 0.9438433502031173}",20-29,"{'0-2': 0.000260386298885522, '3-9': 0.01897504115133993, '10-19': 0.1256751632188489, '20-29': 0.5070044589379629, '30-39': 0.315849333184615, '40-49': 0.027655899824699025, '50-59': 0.003899910679399684, '60-69': 0.0006312890539195185, 'more than 70': 4.8517650329464674e-05}",Up to 50,"{'Over 50': 0.004579717383648667, 'Up to 50': 0.9954202826163513}",Up to 50
